uuid,caption
9c06ea82-3aae-4db5-a712-bf45d8f0bf6e,"Ceriantharia exhibit elongated, cylindrical polyps with a pale coloration, resting on a soft sediment substrate interspersed with rocky outcrops."
ef21dbef-b552-44f5-847a-e2bb36ee6b7b,"Opisthoteuthis cf. californiana exhibits a rounded, gelatinous body with a reddish hue, resting on a substrate of coarse sediment and rocky outcrops."
07e8edc6-46b0-4aa3-9251-aca3f50b754f,"Synallactes exhibit elongated, cylindrical bodies with a smooth texture, displaying muted colors against a substrate of rocky sediment at 2300 meters depth."
309494da-69fe-4a8f-a07f-f1deccb6a251,"Crossaster borealis exhibits a pentagonal shape, pale coloration, smooth texture, resting on a rocky substrate with dark, uneven surfaces."
a5188e36-ef01-41bc-9f12-1890c11cb1b9,"Opisthoteuthis cf. californiana exhibits a rounded, gelatinous body with a vibrant red hue, resting on a substrate of irregular basaltic rocks."
c8433d2b-a9ff-491e-abfe-50e26a89f547,"Coryphaenoides exhibit elongated, streamlined bodies with a dark coloration, textured scales, resting on a substrate of uneven, coarse sedimentary rocks."
161f160c-74a2-4e37-8602-dce75c29d120,"Pannychia exhibits a robust, irregular shape with a dark, textured surface, situated on a substrate of solidified lava and fine sediment."
5ec842d6-e581-4960-8eeb-78c9db3a598e,"Antimora microlepis exhibits an elongated, streamlined body with a dark coloration and smooth texture, resting on a rocky substrate."
2da40964-b055-4518-bf44-9b0e620f99e2,"Pannychia exhibits a cylindrical body with a smooth texture, pale coloration, resting on a substrate of fine sediment interspersed with rocky outcrops."
e9a03730-e716-4497-a265-800812f09abb,"Antimora microlepis exhibits an elongated, streamlined body with a dark gray coloration and smooth texture, resting on a soft sediment substrate."
671fa775-5a7f-419a-868a-9b16fdd5d237,"Bathyraja spinosissima exhibits a flattened, disc-shaped body with a mottled brown coloration and rough texture, resting on soft sediment at depth."
c07f9072-bb21-4591-b3a0-d6dd19b68a08,"Peniagone exhibits a slender, elongated body with a pale coloration and smooth texture, resting on a rocky substrate interspersed with fine sediment."
28dec2b8-78ea-4fe0-ad8f-9930acf053f4,"Cystechinus giganteus exhibits a globular shape, pale coloration, rough texture, and resides on a substrate of fine sediment interspersed with rocky outcrops."
520afa30-41c9-4f68-8a8b-abb61544b922,"Bathyraja spinosissima exhibits a flattened, oval shape with a mottled gray coloration and rough texture, resting on rocky substrate at depth."
e09975fa-2221-4bc3-8fc5-e04cbe98dca3,"Ceriantharia exhibit cylindrical, elongated polyps with a soft, flexible texture, situated on a sedimentary substrate composed of fine sand and silt."
aa1f4685-66d1-47ab-9e86-5f8a4011dd40,"Coryphaenoides acrolepis exhibits an elongated, streamlined body with a bluish-gray coloration, resting on a substrate of coarse, dark basaltic rock."
49ab0849-5b50-416e-8352-a8974bd672f2,"Coryphaenoides exhibits an elongated, streamlined body with a pale coloration, swimming above a substrate of uneven, rocky sediment."
06bd1304-4450-4eca-bc8a-8329365da0c4,"Chrysogorgia exhibits a branching, bushy morphology with a pale coloration and a soft, flexible texture, anchored to a rocky substrate."
26586708-a08b-4a6b-bd31-0251627c918c,"Synallactes exhibit elongated, cylindrical bodies with a pale coloration and smooth texture, resting on a rugged basalt substrate."
0c448dd3-51bb-478c-b1db-a8ac617cf7b5,"Hymenaster exhibits a star-shaped, pale coloration with a smooth texture, resting on a substrate of rocky sediment at 2502.26 m depth."
b943bef6-2e8d-4766-b70f-df3e5f174e10,"Comatulida exhibit branched arms with a delicate texture, while Synallactes display a cylindrical body; both inhabit a rocky substrate."
c1211b39-af32-4ce0-8629-b9f237b8266b,"Antimora microlepis exhibits an elongated, streamlined body with a dark gray coloration and smooth texture, resting on a soft, sandy substrate."
36370f40-aca6-4e54-bf2f-d9e9392f47e6,"Euplectellidae exhibit a cylindrical, porous structure with a white coloration, resting on a substrate of rocky sediment and gravel."
987cbdba-d97e-4a7c-91bf-637ad5b5af80,"Pannychia moseleyi exhibits a slender, elongated body with a pale coloration, textured with fine setae, resting on a rugged rock substrate."
83e999b6-80aa-48ce-8794-72cb7643f3c9,"Munnopsidae exhibit a flattened, elongated body with a smooth texture, displaying a pale coloration against a hard, rocky substrate."
31a87b5f-45ce-43ef-bab4-b348eba09f33,"Coryphaenoides exhibits an elongated, streamlined body with a pale coloration and smooth texture, resting on a substrate of rocky sediment."
3e01dbd5-ff56-4996-bf65-b0b72e196f11,"Coryphaenoides exhibit elongated, streamlined bodies with a pale coloration, resting on a substrate of coarse sediment and rocky outcrops."
d1d7c795-cc3b-4059-99a3-f1a7256bbcc1,"Pannychia exhibits a rounded, robust shape with a mottled gray coloration and a rough texture, situated on a rocky substrate."
55dd270f-6fc2-434d-9745-c8bad851eb67,"Synallactes exhibit elongated, soft bodies with a pale pink hue, resting on a hard, rocky substrate interspersed with fine sediment."
127683e5-b4af-4f77-a031-5c57b9bd06c8,"Zoantharia exhibit branching, tubular polyps with a white coloration and a soft, textured surface, attached to a rocky substrate."
73503d24-2ba6-4369-be9f-58b4f447506c,"Bathyraja spinosissima exhibits a flattened, disc-shaped body with a pale coloration and smooth texture, resting on a substrate of rugged rocks."
d5cbfffd-8a95-4761-a8a6-efdb74f5d2c6,"Pteraster exhibits a pentagonal shape, pale coloration, rough texture, resting on a substrate of angular rock fragments."
ae2b8fd4-7af3-45f4-8373-aac60e7c760d,"Bathyraja spinosissima exhibits a flattened, disc-like body with a pale coloration and rough texture, resting on rocky substrate."
d14824f9-40e8-403b-a064-c9b6ace9ab92,"Coryphaenoides exhibit elongated, streamlined bodies with a pale coloration, resting on a substrate of coarse, uneven rocky sediment."
c3a5f2d5-ec70-4130-9028-470e601fbf2a,"Bargmannia lata exhibits a slender, elongated body with a translucent, pale coloration and smooth texture, suspended above a soft sediment substrate."
4bdbddcc-095a-4636-91b4-c500d3763781,"Antimora microlepis exhibits an elongated, streamlined body with a dark brown coloration and smooth texture, resting on a soft, sedimentary substrate."
014885ae-6715-4485-b59c-2f2bbae53cd7,"Comatulida exhibit a feathery, branched morphology in pale hues, while Peniagone displays a cylindrical, elongated shape; substrate consists of rough, dark basaltic rock."
77f98200-7ead-4bab-add0-b7636446794c,"Pannychia moseleyi exhibits a translucent, elongated body with feathery parapodia, resting on a substrate of fine sediment interspersed with rocky outcrops."
d25cfb7b-3f82-4c9e-9df8-a299c783b8fd,"Peniagone exhibits a slender, elongated body with a translucent, pale coloration, resting on a rocky substrate characterized by fine sediment and basaltic formations."
4b9431dc-ff07-4eac-992b-24c27e7bb828,"Synallactes exhibits a cylindrical, elongated shape with a pink hue, resting on a rough, basaltic substrate interspersed with fine sediment."
438aea1e-b1e2-4c67-a1c3-6599ca8b5e3f,"Antimora microlepis exhibits an elongated, streamlined body with a dark coloration and smooth texture, resting on a substrate of rocky sediment."
13ef4af0-5308-48c8-8ab8-939fa705e2ff,"Hyalonema exhibits a cylindrical, spicule-rich body with a pale coloration, while Synallactes shows a more elongated form with a darker hue, both resting on rocky substrate."
f91e2905-93c7-470a-b94e-59fb9a4677f1,"Aegina exhibits a bell-shaped, translucent body with long, trailing tentacles, suspended in a dark, sediment-rich water column at 1121.04 m depth."
e57c6824-276f-4f21-b47c-cb160c2f76c5,"Coryphaenoides exhibit elongated, streamlined bodies with a pale coloration, residing on a rocky substrate interspersed with sediment."
4141783d-2a0c-496d-a563-72c17abe9f09,"Bathyraja spinosissima exhibits a flattened, disc-like shape with a pale coloration and smooth texture, resting on rocky substrate interspersed with sediment."
59d4935c-d690-4115-b0be-4861995c0857,"Laetmogone exhibits an elongated, streamlined body with a pale coloration, while Coryphaenoides has a robust, dark-hued form; both inhabit a rocky substrate."
dad27d25-2a59-4b02-8b41-e074fd998206,"Macrouridae exhibit elongated bodies with a tapered caudal fin, pale coloration, and smooth texture, resting on a soft sediment substrate."
17e0206a-a723-4a6f-8acd-4ab529d08b51,"Synallactes exhibit elongated, pinkish bodies with a smooth texture, resting on a hard, dark basalt substrate interspersed with fine sediment."
a5d12d4b-6e69-420b-9316-21951635d016,"Ceriantharia exhibit elongated, cylindrical polyps with a smooth texture, typically pale in color, situated on a soft sediment substrate at 1518.54 m depth."
99378616-53dd-410a-8758-43eb7ef5a595,"Antimora microlepis exhibits an elongated, streamlined body with a silvery hue and smooth texture, resting on a soft, sedimentary substrate."
953991c0-70f4-4822-a7b6-51f2a8a60db5,"Paragorgia arborea exhibits a branching, tree-like morphology with a pink hue, textured surface, anchored to rocky substrate at 1669.67 m depth."
ac0c9d2e-41c8-45a6-b1f7-a05347d76488,"Coryphaenoides acrolepis exhibits an elongated, streamlined body with a pale coloration, swimming above a substrate of fine sediment and scattered rocky outcrops."
674c570c-52f5-4b5f-aab5-5710299df29c,"Psychrolutes phrictus exhibits a gelatinous, rounded body with a pale coloration, resting on a soft, sedimentary substrate interspersed with rocky formations."
6288cbef-b5b1-4e2e-9615-e86d9b9de704,"Antimora microlepis exhibits an elongated, streamlined body with a silvery coloration, resting on a substrate of rugged, basaltic rock formations."
b44b49a4-5760-42bc-81cf-c4e6ac3b3928,"Chrysogorgia exhibits a branching, tree-like morphology with white polyps, while the substrate consists of soft sediment and scattered rocky outcrops."
76e12e7b-d213-422c-9879-ff043843be0d,"Pteraster exhibits a pentagonal, soft-bodied morphology with a pale pink hue, textured surface, resting on a rocky substrate."
1373a24a-8ed2-45c1-8912-f2ab053a25b4,"Physonectae exhibit elongated, transparent bodies with a delicate, gelatinous texture, suspended in a pelagic environment devoid of visible substrate."
3c9798e8-18b7-48e8-89fd-a302c7cb1617,"Paragorgia arborea exhibits a bushy, branched morphology with a pinkish hue and a soft, fleshy texture, situated on rocky substrate."
d62df391-e837-40ed-8f16-fbeef34a1789,"Synallactes exhibit elongated bodies with a mottled brown coloration, textured skin, and inhabit a rocky substrate at 2309.18 m depth."
7a6a340d-6d6b-4578-9b1b-62b7dc7d6385,"Physonectae exhibit elongated, transparent bodies with a reddish hue, suspended above a soft sediment substrate at 1406.2 m depth."
64e39520-ab90-4f34-8a75-129f63c114a9,"Synallactes exhibit elongated, soft-bodied morphology with a pale coloration, resting on a hard, rocky substrate interspersed with fine sediment."
3934e0e2-6949-481e-bcd3-1169c67d287a,"Peniagone exhibits a cylindrical, elongated shape with a smooth, pale coloration, resting on a substrate of coarse volcanic rock."
718392e2-425d-4266-910b-1e76888e4653,"Psathyrometra fragilis exhibits a slender, elongated body with a smooth texture, while Macrouridae displays a robust, tapered shape; substrate consists of rocky outcrops and fine sediment."
4666969d-a6a6-4e12-848b-79e0d39fec67,"Synallactes exhibit elongated, cylindrical bodies with a smooth, dark coloration, resting on a substrate of large, rounded basaltic rocks interspersed with fine sediment."
f744e710-8828-45c5-a3fa-0cc9c5715430,"Ceriantharia exhibit elongated, cylindrical polyps with a pale coloration and a soft, flexible texture, situated on a rocky substrate interspersed with sediment."
0c64c3a1-9520-4ae8-9008-feea8a78d48a,"Coryphaenoides exhibit elongated, streamlined bodies with a pale coloration and smooth texture, resting on a substrate of rocky sediment."
43af30ec-c448-4b1d-8152-369887e63f9b,"Ceriantharia exhibit cylindrical, elongated polyps with dark coloration and a textured surface, situated on rocky substrate amidst sediment."
50b89c53-03e8-49cb-95b4-073c450a2695,"Coryphaenoides exhibits elongated, streamlined bodies with a pale coloration, while Porifera displays a lobed, irregular shape in a lighter hue, resting on soft sediment."
2b6ff1bc-6061-4ae5-9f46-7f80408a286d,"Crossaster borealis exhibits a pentagonal shape, pale coloration, rough texture, resting on a rocky substrate at a depth of 2362.95 meters."
358f1390-960c-4aa4-8340-e2b27ab674e6,"Pannychia exhibits a cylindrical, elongated body with a pale coloration and a smooth texture, resting on a rocky substrate."
d4bd82ee-66f4-46c1-8e9c-66e331793a13,"Poralia rufescens exhibits a flattened, lobate morphology with a pale coloration and smooth texture, situated on a rocky substrate."
24dcc7ed-6c96-4c9c-8055-aace1258ddc1,"Munidopsis exhibits a robust, elongated body with a pale coloration and a rough texture, inhabiting a substrate of coarse sediment and rocky outcrops."
50ae611e-1c2c-47b9-8371-5db5a9895475,"Antimora microlepis exhibits an elongated, streamlined body with a dark brown coloration and smooth texture, resting on a substrate of fine sediment interspersed with rocky outcrops."
150f24a0-aa88-468e-9415-f1e8ea6c7f8d,"Bathyraja spinosissima exhibits a flattened, disc-shaped body with a pale coloration and smooth texture, resting on a substrate of dark, rocky sediment."
7282f04a-da91-4032-b03d-179e5a301899,"Hymenaster exhibits a star-shaped, brownish body with a rough texture, resting on a substrate of fine sediment and rocky outcrops."
8f39e373-a9c2-4976-a68e-ae72405befef,"Psychrolutes phrictus exhibits a gelatinous, rounded body with a pale coloration, resting on a substrate of rocky sediment."
36a7932e-12f8-46c4-95fe-8263ec1c2132,"Opisthoteuthis cf. californiana exhibits a rounded, soft body with a reddish-brown hue, resting on a sandy substrate interspersed with rocky formations."
8d63cda5-c646-4720-b6b0-9dbd98931686,"Bathyraja spinosissima exhibits a flattened, disc-shaped body with a pale coloration and rough texture, resting on a substrate of dark, rocky sediment."
65c1781d-359f-4b1a-ad4b-0ac479e238d5,"Zoantharia exhibit cylindrical polyps with a pale coloration, attached to rocky substrate, displaying a smooth texture amidst coarse sediment."
1a3a8b2c-9f0c-4757-9ebb-2a9dc2c381a2,"Antimora microlepis exhibits a streamlined, elongated body with a dark brown coloration, smooth texture, and resides above a rocky substrate."
24a09dc2-b27b-4695-8b16-e7da55cbb991,"Psychrolutes phrictus exhibits a gelatinous, rounded body with a pale coloration and a smooth texture, resting on a rocky substrate."
f59678d4-09ca-4f4d-9a4e-7178fa2976ff,"Bathyraja spinosissima exhibits a flattened, disc-like body with pale coloration and smooth texture, resting on rocky substrate at 2059.26 m depth."
4ebf73c3-a4c4-4018-8b5d-47dc1002d637,"Coryphaenoides exhibit elongated, streamlined bodies with a dark coloration and smooth texture, resting on a substrate of irregular, rocky sediment."
1a19cab1-342d-4a40-b1e2-f62e71c72b83,"Pteraster exhibits a flattened, star-shaped morphology with a rough, textured surface, resting on a rocky substrate at 2027.25m depth."
557ad428-009a-41ca-8ddf-59cc662b2781,"Peniagone exhibits a slender, elongated body with a translucent, gelatinous texture, hovering above a rocky substrate with layered sedimentary features."
6c350b92-7605-4628-8b25-dfca4989aabb,"Coryphaenoides exhibit elongated, streamlined bodies with a pale coloration, resting on a rough, rocky substrate interspersed with sediment."
4cfa4db8-d814-4cf7-8858-097aa1786bcd,"Macrouridae exhibit elongated bodies with a tapered caudal region, typically grayish-brown, over a rocky substrate with smooth, irregular surfaces."
13d5bd81-e946-43a2-a5f3-fd1d0a239f38,"Bathyraja microtrachys exhibits a flattened, disc-shaped body with a pale coloration and smooth texture, resting on rocky substrate amidst fine sediment."
ed61f54a-4935-4ca0-8096-355768c46eab,"Cystechinus giganteus exhibits a rounded, pale body with spiny texture, while Ophiuroidea display slender, flexible arms on a sandy substrate."
eb5f7e23-dc77-48e8-ad9d-8065413f5a7c,"Psychrolutes phrictus exhibits a gelatinous, rounded body with pale coloration and a smooth texture, resting on a substrate of rocky sediment."
cee4205b-64a6-44a3-925d-3a168b2dcf85,"Chrysogorgia pinnata exhibits a branching, tree-like morphology with a pale color and a delicate, textured surface, anchored to a soft sediment substrate."
4338fb19-5f5e-4157-8025-eb2f72452e49,"Bathyraja abyssicola exhibits a flattened, disc-shaped body with a grayish-brown coloration, smooth texture, resting on soft sediment substrate."
cbec2932-30e5-45eb-b383-ee2f52fe38d3,"Coryphaenoides exhibit elongated bodies with a silvery hue, smooth texture, resting on a soft sediment substrate interspersed with rocky formations."
6469e4c5-e5a2-4dab-89d9-d99ebee220f7,"Brisingida exhibit a star-shaped morphology with a pale coloration, resting on a substrate of rugged basaltic rock."
8c1d1d34-859b-4b8d-a69d-28cbbe621c92,"Synallactes exhibit elongated, cylindrical bodies with a mottled brown coloration and a smooth texture, resting on a substrate of coarse, rocky sediment."
3b4fe0b2-0959-4b71-8bec-3f280477f1ac,"Coryphaenoides acrolepis exhibits an elongated, streamlined body with a pale coloration and smooth texture, resting on a hard, rocky substrate."
d2f6da09-6c7f-4fc9-8205-7d88d8dced01,"Coryphaenoides exhibit elongated, streamlined bodies with a dark, mottled coloration, resting on a substrate of uneven, rocky basalt formations."
f8783e54-b93c-4fd6-89ca-02354063b9de,"Coryphaenoides exhibits an elongated, streamlined body with a pale coloration and smooth texture, resting on a substrate of rocky sediment."
e61a8e4b-8a1c-4311-8c52-53308deb464e,"Coryphaenoides acrolepis exhibits an elongated, streamlined body with a silvery-gray coloration, resting on a rough, rocky substrate."
82de0982-5578-4497-96c6-8ab097b0741b,"Opisthoteuthis cf. californiana exhibits a rounded, flattened body with a pale pink hue and smooth texture, resting on a sandy substrate interspersed with rocky formations."
763521d3-dfe9-4221-ad5c-40d110285b18,"Bathyraja spinosissima exhibits a flattened, disc-like shape with a bluish-gray coloration, while Coryphaenoides displays an elongated body with a darker hue, both resting on soft sediment substrate."
27c55340-d38d-4ca2-8d85-de05c9d49b36,"Peniagone exhibits a cylindrical, elongated shape with a translucent, pale coloration, resting on a coarse, rocky substrate."
13341ec2-e241-48b4-bd6a-3fdd864dcbc7,"Pteraster exhibits a star-shaped morphology with a rough, textured surface, displaying muted colors against a rocky substrate at 2319 m depth."
bfe19869-4a59-492f-ae07-446d67a4fb04,"Coryphaenoides acrolepis exhibits a streamlined, elongated body with a dark brown coloration and smooth texture, resting on a rocky substrate interspersed with fine sediment."
0e344f98-b318-4d4b-951d-fe560e85fbb9,"Pannychia exhibits elongated, translucent polyps with feathery tentacles, resting on a rocky substrate interspersed with fine sediment."
e2498cb3-1430-4a4b-b5ab-8ac1f3632e15,"Hymenaster exhibits a pink, soft-bodied morphology with a rough texture, resting on a substrate of dark basaltic rock."
fd46af03-260d-4b2a-8d54-eea727262429,"Zoroasteridae exhibit a star-shaped morphology with a rough texture, while Coryphaenoides display elongated bodies; substrate consists of fine sediment with scattered rocky outcrops."
